Organism_name	Organism_groups	BioProject	Assembly	Size_in_Mb	GC_percent
Porphyromonas_gingivalis_ATCC_33277	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJDA19051	GCA_000010505.1	2.35489	48.4
Gramella_forsetii_KT0803	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJEA19061	GCA_000060345.1	3.79847	36.6
Ureaplasma_parvum_serovar_3_str._ATCC_27815	Bacteria;Terrabacteria group;Tenericutes	PRJNA19087	GCA_000019345.1	0.751679	25.5
Ureaplasma_urealyticum_serovar_10_str._ATCC_33699	Bacteria;Terrabacteria group;Tenericutes	PRJNA20247	GCA_000021265.1	0.874478	25.8
Mycoplasma_mycoides_subsp._mycoides_SC_str._Gladysdale	Bacteria;Terrabacteria group;Tenericutes	PRJNA27713	GCA_000143865.1	1.19381	24
Burkholderia_thailandensis_E264	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA10774	GCA_000012365.1	6.72397	67.6468
Phaeobacter_gallaeciensis_DSM_26640	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA227502	GCA_000511385.1	4.54016	59.4193
Octadecabacter_antarcticus_307	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA19333	GCA_000155675.2	4.87548	54.5768
Burkholderia_oklahomensis_C6786	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA238548	GCA_000959365.1	7.13502	67.0684
Burkholderia_multivorans_ATCC_BAA-247	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA264318	GCA_000959525.1	6.32275	67.2008
Ochrobactrum_anthropi_ATCC_49188	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA19485	GCA_000017405.1	5.20578	56.1453
Treponema_pallidum_subsp._pallidum_str._Sea_81-4	Bacteria;Spirochaetes;Spirochaetia	PRJNA74337	GCA_000604125.1	1.1392	52.8
Rhizobium_leguminosarum	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA316801	GCA_001890425.1	8.44734	60.4985
Anaeromyxobacter_dehalogenans_2CP-1	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA20095	GCA_000022145.1	5.02933	74.7
Leptospira_biflexa_serovar_Patoc_strain_'Patoc_1_(Paris)'	Bacteria;Spirochaetes;Spirochaetia	PRJNA20133	GCA_000017685.1	3.95145	38.9018
Brucella_canis_ATCC_23365	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA20243	GCA_000018525.1	3.31277	57.2364
Mycobacterium_marinum_E11	Bacteria;Terrabacteria group;Actinobacteria	PRJEB5070	GCA_000723425.2	6.45052	65.7699
Burkholderia_ambifaria_AMMD	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13490	GCA_000203915.1	7.52857	66.7904
Brucella_suis_1330	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA320	GCA_000007505.1	3.31517	57.2364
Bifidobacterium_dentium_JCM_1195_=_DSM_20436	Bacteria;Terrabacteria group;Actinobacteria	PRJDB59	GCA_001042595.1	2.63567	58.5
Bradyrhizobium_japonicum_USDA_6	Bacteria;Proteobacteria;Alphaproteobacteria	PRJDA67463	GCA_000284375.1	9.20738	63.7
Gluconacetobacter_diazotrophicus_PA1_5	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA21071	GCA_000021325.1	3.91495	66.3446
Microcystis_aeruginosa_NIES-843	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	PRJDA27835	GCA_000010625.1	5.84279	42.3
Streptococcus_dysgalactiae_subsp._equisimilis_AC-2713	Bacteria;Terrabacteria group;Firmicutes	PRJNA48119	GCA_000317855.1	2.17944	39.5
Rhizobium_etli_CFN_42	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA13932	GCA_000092045.1	6.53023	61.0458
Chromohalobacter_salexigens_DSM_3043	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA12636	GCA_000055785.1	3.69665	63.9
Bartonella_tribocorum_CIP_105476	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA28109	GCA_000196435.1	2.6424	38.8655
Hungateiclostridium_thermocellum_ATCC_27405	Bacteria;Terrabacteria group;Firmicutes	PRJNA314	GCA_000015865.1	3.8433	39
Streptomyces_clavuligerus	Bacteria;Terrabacteria group;Actinobacteria	PRJNA414136	GCA_005519465.1	8.54409	72.5319
Borreliella_garinii	Bacteria;Spirochaetes;Spirochaetia	PRJNA350560	GCA_001922545.1	1.15611	28.1739
Chlamydia_psittaci_6BC	Bacteria;PVC group;Chlamydiae	PRJNA62889	GCA_000204255.1	1.17922	39.0603
Bifidobacterium_animalis_subsp._animalis_ATCC_25527	Bacteria;Terrabacteria group;Actinobacteria	PRJNA41423	GCA_000260715.1	1.93269	60.5
Bacillus_amyloliquefaciens_DSM_7_=_ATCC_23350	Bacteria;Terrabacteria group;Firmicutes	PRJEA41719	GCA_000196735.1	3.9802	46.1
Comamonas_testosteroni_TK102	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA216961	GCA_000739375.1	6.0627	61.9
Bacillus_mycoides	Bacteria;Terrabacteria group;Firmicutes	PRJNA238211	GCA_000832605.1	5.63705	35.3849
Yersinia_frederiksenii_Y225	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA236482	GCA_000834215.1	4.55089	47.282
Yersinia_kristensenii	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA240099	GCA_000834865.1	4.49657	47.4
Alteromonas_macleodii_ATCC_27126	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA29793	GCA_000172635.2	4.65385	44.7
Stenotrophomonas_maltophilia_K279a	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA30351	GCA_000072485.1	4.85113	66.3
Micrococcus_luteus_NCTC_2665	Bacteria;Terrabacteria group;Actinobacteria	PRJNA20655	GCA_000023205.1	2.5011	73
Streptococcus_equi_subsp._zooepidemicus	Bacteria;Terrabacteria group;Firmicutes	PRJEA30767	GCA_000026605.1	2.14987	41.5
Zymomonas_mobilis_subsp._mobilis_ATCC_10988	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA30987	GCA_000175255.2	2.14346	46.0424
Glaesserella_parasuis_SH0165	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA31099	GCA_000021885.1	2.26916	40
Acetobacter_pasteurianus_IFO_3283-01	Bacteria;Proteobacteria;Alphaproteobacteria	PRJDA31129	GCA_000010825.1	3.34025	53.0701
Pasteurella_multocida	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA244572	GCA_000754275.1	2.27184	40.4
Lactobacillus_rhamnosus_GG	Bacteria;Terrabacteria group;Firmicutes	PRJEA32195	GCA_000026505.1	3.01011	46.7
Francisella_philomiragia_subsp._philomiragia_ATCC_25015	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA239335	GCA_000833455.1	2.0174	32.6
Thermomicrobium_roseum_DSM_5159	Bacteria;Terrabacteria group;Chloroflexi	PRJNA32569	GCA_000021685.1	2.92074	64.2598
Fibrobacter_succinogenes_subsp._succinogenes_S85	Bacteria;FCB group;Fibrobacteres	PRJNA47	GCA_000146505.1	3.843	48
Vibrio_splendidus	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA481137	GCA_003345295.1	5.50839	44.1197
Enterococcus_gallinarum	Bacteria;Terrabacteria group;Firmicutes	PRJNA231221	GCA_001558875.2	3.82148	42.3216
Enterococcus_casseliflavus_EC20	Bacteria;Terrabacteria group;Firmicutes	PRJNA32935	GCA_000157355.2	3.42728	42.8
Brucella_melitensis_bv._1_str._16M	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA180	GCA_000007125.1	3.29493	57.2357
Dickeya_dadantii	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA407418	GCA_003049785.1	4.99754	56.4
Bacillus_megaterium_NBRC_15308_=_ATCC_14581	Bacteria;Terrabacteria group;Firmicutes	PRJNA238207	GCA_000832985.1	5.74664	37.8506
Burkholderia_glumae_LMG_2196_=_ATCC_33617	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA259679	GCA_000960995.1	6.82073	68.1733
Bacteroides_intestinalis	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA483945	GCA_003363675.2	5.78576	42.5
Streptococcus_infantarius_subsp._infantarius_CJ18	Bacteria;Terrabacteria group;Firmicutes	PRJNA70717	GCA_000246835.1	2.00825	37.5743
Clostridium_sporogenes	Bacteria;Terrabacteria group;Firmicutes	PRJNA285281	GCA_001020205.1	4.14299	28
Providencia_stuartii_MRSN_2154	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA88059	GCA_000259175.1	4.40211	41.3
Parvimonas_micra	Bacteria;Terrabacteria group;Firmicutes	PRJNA264589	GCA_000800295.1	1.62701	28.6
[Clostridium]_scindens_ATCC_35704	Bacteria;Terrabacteria group;Firmicutes	PRJNA508260	GCA_004295125.1	3.65804	46.2
Desulfovibrio_piger	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJEB16679	GCA_900116045.1	2.80753	64.2
Bacteroides_caccae	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA393727	GCA_002222615.2	4.5708	41.9
Bacteroides_ovatus	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA289334	GCA_001314995.1	6.47249	41.9
Bacteroides_uniformis	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJDB8042	GCA_006742345.1	4.98953	46.2094
Azotobacter_vinelandii_DJ	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA16	GCA_000021045.1	5.36532	65.7
Methylococcus_capsulatus_str._Bath	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA21	GCA_000008325.1	3.30456	63.6
[Haemophilus]_ducreyi_35000HP	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA38	GCA_000007945.1	1.69895	38.2
Dichelobacter_nodosus_VCS1703A	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA50	GCA_000015345.1	1.38935	44.4
Rickettsia_conorii_str._Malish_7	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA42	GCA_000007025.1	1.26876	32.4
Nitrosomonas_europaea_ATCC_19718	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA52	GCA_000009145.1	2.81209	50.7
Acidithiobacillus_ferrooxidans_ATCC_23270	Bacteria;Proteobacteria;Acidithiobacillia	PRJNA53	GCA_000021485.1	2.9824	58.8
Cytophaga_hutchinsonii_ATCC_33406	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA54	GCA_000014145.1	4.43322	38.8
Ruminococcus_albus_7_=_DSM_20455	Bacteria;Terrabacteria group;Firmicutes	PRJNA42255	GCA_000179635.2	4.48209	43.6142
Streptococcus_gordonii_str._Challis_substr._CH1	Bacteria;Terrabacteria group;Firmicutes	PRJNA66	GCA_000017005.1	2.19666	40.5
Lactobacillus_gasseri_ATCC_33323_=_JCM_1131	Bacteria;Terrabacteria group;Firmicutes	PRJNA84	GCA_000014425.1	1.89436	35.3
Listeria_innocua_Clip11262	Bacteria;Terrabacteria group;Firmicutes	PRJNA86	GCA_000195795.1	3.09311	37.3497
Corynebacterium_diphtheriae	Bacteria;Terrabacteria group;Actinobacteria	PRJEB6403	GCA_001457455.1	2.46367	53.5
Thermobifida_fusca_YX	Bacteria;Terrabacteria group;Actinobacteria	PRJNA94	GCA_000012405.1	3.64225	67.5
Mycoplasma_pulmonis	Bacteria;Terrabacteria group;Tenericutes	PRJEB6403	GCA_900660575.1	0.962791	26.5035
Mycoplasma_penetrans_HF-2	Bacteria;Terrabacteria group;Tenericutes	PRJNA176	GCA_000011225.1	1.35863	25.7
Geobacter_metallireducens_GS-15	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA177	GCA_000012925.1	4.01118	59.476
Streptomyces_avermitilis_MA-4680_=_NBRC_14893	Bacteria;Terrabacteria group;Actinobacteria	PRJNA189	GCA_000009765.2	9.11989	70.6845
Spiroplasma_kunkelii_CR2-3x	Bacteria;Terrabacteria group;Tenericutes	PRJNA270865	GCA_001274875.1	1.51456	25.0104
Novosphingobium_aromaticivorans_DSM_12444	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA204	GCA_000013325.1	4.23331	65.1542
Dehalococcoides_mccartyi_195	Bacteria;Terrabacteria group;Chloroflexi	PRJNA214	GCA_000011905.1	1.46972	48.9
Nostoc_punctiforme_PCC_73102	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	PRJNA216	GCA_000020025.1	9.05919	41.3416
Chlamydia_caviae_GPIC	Bacteria;PVC group;Chlamydiae	PRJNA228	GCA_000007605.1	1.18136	39.1629
Chlamydia_muridarum_str._Nigg	Bacteria;PVC group;Chlamydiae	PRJNA229	GCA_000006685.1	1.08045	40.2681
Bacillus_halodurans	Bacteria;Terrabacteria group;Firmicutes	PRJNA542427	GCA_005671335.1	4.3156	43.5
Cupriavidus_metallidurans_CH34	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA250	GCA_000196015.1	6.91335	63.5184
Carboxydothermus_hydrogenoformans_Z-2901	Bacteria;Terrabacteria group;Firmicutes	PRJNA253	GCA_000012865.1	2.40152	42
Paraburkholderia_xenovorans_LB400	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA254	GCA_000013645.1	9.73114	62.6336
Wolbachia_endosymbiont_of_Drosophila_melanogaster	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA272	GCA_000008025.1	1.26778	35.2
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA274	GCA_000008885.1	0.703004	22.4962
Colwellia_psychrerythraea_34H	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA275	GCA_000012325.1	5.37318	38
Ruegeria_pomeroyi_DSS-3	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA281	GCA_000011965.2	4.60105	64.0504
Oceanobacillus_iheyensis_HTE831	Bacteria;Terrabacteria group;Firmicutes	PRJNA284	GCA_000011245.1	3.63053	35.7
Corynebacterium_efficiens_YS-314	Bacteria;Terrabacteria group;Actinobacteria	PRJNA305	GCA_000011305.1	3.2195	62.9346
Leuconostoc_mesenteroides_subsp._mesenteroides_ATCC_8293	Bacteria;Terrabacteria group;Firmicutes	PRJNA315	GCA_000014445.1	2.07576	37.6586
Saccharophagus_degradans_2-40	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA316	GCA_000013665.1	5.05753	45.8
Trichodesmium_erythraeum_IMS101	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	PRJNA318	GCA_000014265.1	7.75011	34.1
Anaplasma_phagocytophilum_str._HZ	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA336	GCA_000013125.1	1.47128	41.6
Bordetella_avium_197N	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA27	GCA_000070465.1	3.73225	61.6
Pectobacterium_atrosepticum	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA247436	GCA_000696465.1	5.00493	51.1
Acidobacterium_capsulatum_ATCC_51196	Bacteria;Acidobacteria;Acidobacteriia	PRJNA28085	GCA_000022565.1	4.12736	60.5
Neorickettsia_sennetsu_str._Miyayama	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA357	GCA_000013165.1	0.859006	41.1
Salmonella_bongori_NCTC_12419	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA351	GCA_000252995.1	4.46011	51.3
Streptococcus_uberis_0140J	Bacteria;Terrabacteria group;Firmicutes	PRJNA353	GCA_000009545.1	1.85235	36.6
Chlamydia_abortus	Bacteria;PVC group;Chlamydiae	PRJNA413812	GCA_002895085.1	1.14422	39.9
Chlamydia_felis_Fe/C-56	Bacteria;PVC group;Chlamydiae	PRJNA370	GCA_000009945.1	1.17379	39.3646
Bartonella_quintana_str._Toulouse	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA44	GCA_000046685.1	1.58138	38.8
Rhodobacter_capsulatus_SB_1003	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA55	GCA_000021865.1	3.87192	66.5966
Clostridium_tetani_E88	Bacteria;Terrabacteria group;Firmicutes	PRJNA81	GCA_000007625.1	2.87333	28.5917
Lawsonia_intracellularis_PHE/MN1-00	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA183	GCA_000055945.1	1.71901	33.0922
Helicobacter_hepaticus_ATCC_51449	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA185	GCA_000007905.1	1.79915	35.9
Bartonella_henselae_str._Houston-1	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA196	GCA_000046705.1	1.93105	38.2
Leifsonia_xyli	Bacteria;Terrabacteria group;Actinobacteria	PRJNA314938	GCA_001647635.1	3.59676	70.2
